softmax_0,softmax_1,softmax_2,softmax_3,softmax_4,softmax_5,softmax_6,softmax_7,softmax_8,softmax_9,softmax_10,softmax_11,predicted_MOA,variance,MOA,compound,concentration,image_name,confidence
0.000991152189326,0.0035468726139899994,0.0007379261343889999,2.61091007496e-05,0.9123270124200001,7.18250130922e-05,0.0698396233539,7.0585404012e-05,6.522248126919999e-08,2.13328389901e-05,1.04646498747e-05,0.0123570489491,DNA replication,0.079986434829,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_1.jpeg,0.4343625372060298
0.000149099641826,0.000507429325444,0.00398036941639,1.03686575949e-05,0.9629977059360001,4.5715628937199996e-06,0.004020603803800001,4.06633522061e-06,5.74187667723e-07,2.68556497747e-05,3.1780310249e-06,0.028295183742900003,DNA replication,0.035633124297599995,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_2.jpeg,0.6224652371100112
0.000246574071516,0.000407383335369,0.000227596843542,2.91803660616e-05,0.971930861473,7.267519241910001e-06,0.0013717330925999997,2.15527293835e-05,3.9485586234e-08,7.71637392589e-06,5.25145973005e-07,0.0257496028859,DNA replication,0.0272812619893,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_3.jpeg,0.6696591942293535
0.00137311852824,0.000500503611438,0.00833083368023,1.79880742292e-05,0.78623803556,0.00026037433931400003,0.0232509307796,3.66693664387e-05,1.3942649068199998e-07,4.38365449736e-05,0.000123158716694,0.17982441985999997,DNA replication,0.16806778699900002,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_4.jpeg,0.18007857205949296
0.000612823166139,0.000181661323363,0.000193118440775,3.90405655662e-05,0.9509037595990001,0.00010919975733900001,0.0027456869931500004,0.000144092518199,1.0504580161100001e-08,2.67949871136e-05,4.4681060869300006e-06,0.0450393491518,DNA replication,0.046685799579699996,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_5.jpeg,0.5678620610050537
0.000225161044418,0.0010260437513400001,0.0113247441221,0.000131167360541,0.9480387264489999,1.60133352904e-05,0.026933009196099998,9.53524081609e-06,1.02599127903e-06,0.000281885495624,1.17346054932e-05,0.012000973704299998,DNA replication,0.049261299601900004,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_6.jpeg,0.5561022658228587
0.000260214253312,0.00396648050942,0.00834046287229,0.000332515018654,0.8142695066329999,7.17457512769e-05,0.00787435681232,1.39786492309e-05,5.67029849066e-07,0.00021109291370500003,6.35146021978e-06,0.16465273698799998,DNA replication,0.1512346772,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_7.jpeg,0.22222194116830474
9.53958296395e-05,0.000150957528258,0.0035683438114899996,4.82052031668e-05,0.8319564160699999,8.57874091844e-05,0.007344554460429999,2.10347540104e-06,1.06504217827e-07,0.000122973823381,2.08678948911e-05,0.156604296602,DNA replication,0.13980493783,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_8.jpeg,0.2521900299407609
2.28451817887e-05,0.000506068287687,7.10615073831e-05,2.61598842144e-05,0.985853398442,9.87178643413e-06,0.00171833433227,9.82803207933e-06,2.07989090794e-09,3.9132028106800005e-06,9.74027754637e-06,0.0117687826569,DNA replication,0.013946475222100001,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_9.jpeg,0.7638096088144143
0.00027890284398799996,0.00011097262674,0.0091201443522,5.4293165970900004e-06,0.8942493015530001,2.80233426167e-05,0.032221080362800004,6.066358722019999e-06,1.59255724344e-08,7.56600331124e-05,0.000193695832172,0.0637107146578,DNA replication,0.09456748822519999,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_10.jpeg,0.38496345401204
4.02557617986e-05,0.000613533365395,0.000197998795647,7.44561669762e-05,0.913285813928,7.32933501877e-05,0.000662244122977,3.9855822223e-06,6.89363985562e-09,3.59072763968e-05,1.99400433866e-05,0.0849925701413,DNA replication,0.0791948360062,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_11.jpeg,0.43716845857326014
0.00010185218752200002,0.00100513926132,6.71101668331e-05,7.73096141711e-05,0.8040694761280001,0.000165029718009,0.00492187436146,4.08405602184e-05,1.36415883357e-09,3.83611482604e-06,5.12863322751e-05,0.189496246558,DNA replication,0.157541753687,Protein degradation,ALLN,3.0,Protein degradation_ALLN_3.0_12.jpeg,0.2061694042505039
0.0703182407562,0.00019295098762099998,0.724757920504,6.06183052332e-05,0.145145530524,0.000105988156356,0.00354944830469,0.00109951667619,1.69393018982e-05,0.00295944753452,0.000114646690954,0.051678750482400004,Cholesterol-lowering,0.19948387717099997,Protein degradation,ALLN,100.0,Protein degradation_ALLN_100.0_1.jpeg,0.10672764025522441
0.000682113304356,5.37801110841e-05,0.876485387087,7.7534023518e-06,0.0632243718533,3.00274772553e-05,0.0382798940782,9.06068260321e-06,1.47942897348e-05,0.000421313846327,0.00018110174273700002,0.020610404474400004,Cholesterol-lowering,0.10825875330999998,Protein degradation,ALLN,100.0,Protein degradation_ALLN_100.0_2.jpeg,0.34194604078388835
0.0005337275651980001,0.000136078328014,0.8482838857170001,8.07752741594e-06,0.0858242919389,0.00035695320827499997,0.00196687689328,1.1778915532e-05,3.13292088297e-06,0.0017956144435400001,0.00013477039565299999,0.060944805629599995,Cholesterol-lowering,0.12869833495,Protein degradation,ALLN,100.0,Protein degradation_ALLN_100.0_3.jpeg,0.282508996711457
